domain_id	fold_label
1oaiA00	1.10.8
3b89A01	1.10.8
4heoA00	1.10.8
1oksA00	1.10.8
4wp2A00	1.10.8
1aipH03	1.10.8
2ltuA00	1.10.8
1zv1A00	1.10.8
2qhoD00	1.10.8
1vegA01	1.10.8
1cukA03	1.10.8
2jujA00	1.10.8
1mn3A00	1.10.8
3lcvB01	1.10.8
3bbzA00	1.10.8
3e46A02	1.10.8
3e21A00	1.10.8
2hakH03	1.10.8
1dv0A00	1.10.8
1xb2B01	1.10.8
3t6pA02	1.10.8
2lbcA02	1.10.8
3ihpB05	1.10.8
1a5tA02	1.10.8
3h4jA03	1.10.8
2hwjA02	1.10.8
2lbcA01	1.10.8
1tr8A02	1.10.8
4dbgB02	1.10.8
1nv8B01	1.10.8
1im2A02	1.10.8
4gewA01	1.10.8
1e94E02	1.10.8
2b3tA01	1.10.8
1g3iW02	1.10.8
1q02A00	1.10.8
2ejsA00	1.10.8
2mgwA00	1.10.8
1r4gA00	1.10.8
2knaA01	1.10.8
1qzeA02	1.10.8
1otrA00	1.10.8
1tteA02	1.10.8
2jp7A00	1.10.8
2l4eA00	1.10.8
1ufzA01	1.10.8
1v92A00	1.10.8
2di0A01	1.10.8
2ekfA01	1.10.8
2dhyA00	1.10.8
1wj7A01	1.10.8
2lvaA01	1.10.8
2mr9A00	1.10.8
2g3qA00	1.10.8
1wgnA00	1.10.8
1wivA00	1.10.8
2dzlA00	1.10.8
2damA00	1.10.8
1vdlA00	1.10.8
2dnaA00	1.10.8
1vg5A00	1.10.8
2l2dA00	1.10.8
2daeA00	1.10.8
1bvsF03	1.10.8
2daiA00	1.10.8
1oizA01	1.10.8
3hx3A01	1.10.8
3q8gA01	1.10.8
7y11B01	1.10.8
1gjsA00	1.10.8
6bekD00	1.10.8
1mu5A02	1.10.8
8d8lM01	1.10.8
1k3xA02	1.10.8
1k82A02	1.10.8
1tdzA02	1.10.8
7zhgO01	1.10.8
2vqeM01	1.10.8
3doaA02	1.10.8
4nrvA02	1.10.8
3jamS01	1.10.8
3twkA02	1.10.8
3w0fA02	1.10.8
4mb7A02	1.10.8
2q2eB02	1.10.8
3vk8A02	1.10.8
5ep0A03	1.10.8
5ubvA02	1.10.8
1qzmA00	1.10.8
1hqcA02	1.10.8
3d8bB02	1.10.8
5expA02	1.10.8
4ciuA04	1.10.8
2c9oB03	1.10.8
6p10B02	1.10.8
1c1kA01	1.10.8
4fwdA02	1.10.8
5vc7A02	1.10.8
1nvmA02	1.10.8
2fnaA02	1.10.8
5m7oA03	1.10.8
4a3vB01	1.10.8
4zpxA02	1.10.8
1d2nA02	1.10.8
1r6bX03	1.10.8
5vjhB02	1.10.8
2dznF00	1.10.8
6b5cA02	1.10.8
3bosA02	1.10.8
1w5sA01	1.10.8
4d81A02	1.10.8
1njgB01	1.10.8
1ojlA02	1.10.8
3zh9B02	1.10.8
1fnnA01	1.10.8
2x8aA02	1.10.8
3pvsA02	1.10.8
2qz4A02	1.10.8
1iqpA02	1.10.8
1r6bX05	1.10.8
3uk6A02	1.10.8
5d4wA04	1.10.8
1jqjD03	1.10.8
3whkA02	1.10.8
1um8A02	1.10.8
7krzA02	1.10.8
1e94E03	1.10.8
3sykA02	1.10.8
1sxjA02	1.10.8
1sxjD02	1.10.8
1ypwA06	1.10.8
1sxjC02	1.10.8
6vvoC02	1.10.8
2z4sA02	1.10.8
1sxjE02	1.10.8
7swlB02	1.10.8
3te6A02	1.10.8
7wd3A02	1.10.8
1xwiA02	1.10.8
7wd3A04	1.10.8
2qbyA01	1.10.8
1l8qA02	1.10.8
6pe0E01	1.10.8
2qbyB01	1.10.8
3u60E02	1.10.8
2v6zM00	1.10.8
2ja2A04	1.10.8
1j09A04	1.10.8
2o5rA04	1.10.8
3afhA04	1.10.8
2cfoA04	1.10.8
4griA04	1.10.8
2r44A03	1.10.8
1e9rA02	1.10.8
1g8pA02	1.10.8
3futA02	1.10.8
3ftdA02	1.10.8
1qyrA02	1.10.8
3gruA02	1.10.8
3tqsA02	1.10.8
6ifsB02	1.10.8
4jxjA02	1.10.8
1qamA02	1.10.8
4gc5A02	1.10.8
1i4wA02	1.10.8
1jb0F00	1.10.8
4l6v600	1.10.8
1gvnA00	1.10.8
2p5tA00	1.10.8
2fh0A00	1.10.8
2cruA01	1.10.8
1eijA00	1.10.8
1g71A02	1.10.8
1oaoC01	1.10.8
6yttA01	1.10.8
1no1A00	1.10.8
1pjqA03	1.10.8
3c3dA02	1.10.8
2gnoA02	1.10.8
3v76A03	1.10.8
2gqfA03	1.10.8
3qybA02	1.10.8
2qq8A02	1.10.8
4p17A02	1.10.8
2vf7A03	1.10.8
2r6fA04	1.10.8
3zqjD04	1.10.8
3c9pA00	1.10.8
2aplA01	1.10.8
2aplA02	1.10.8
1qusA01	1.10.8
3p2nB01	1.10.8
3bxwA01	1.10.8
1ysyA00	1.10.8
2g8lB01	1.10.8
2ffjA01	1.10.8
1h6uA01	1.10.8
1nhwC00	1.10.8
3vdpA01	1.10.8
8a93D01	1.10.8
1z6tA03	1.10.8
2k47A00	1.10.8
1xhbA02	1.10.8
1wxqA02	1.10.8
1zq9A02	1.10.8
2a5yB03	1.10.8
2aswA00	1.10.8
5ijiA01	1.10.8
4i5sA01	1.10.8
3fd9A01	1.10.8
2kebA00	1.10.8
2x49A03	1.10.8
2kruA01	1.10.8
2l09A01	1.10.8
2w82A02	1.10.8
2eucA00	1.10.8
3ilkA02	1.10.8
2bnkA00	1.10.8
3dfzA02	1.10.8
2xepA03	1.10.8
2hl7A00	1.10.8
2l6oA02	1.10.8
5wpjB03	1.10.8
3qwlA02	1.10.8
3u60A03	1.10.8
3vkgB04	1.10.8
4akgA06	1.10.8
3vkgA18	1.10.8
4akgA16	1.10.8
4ag6A02	1.10.8
4akgA13	1.10.8
3ugjA02	1.10.8
2g5gX02	1.10.8
2eo2A00	1.10.8
2j7nA02	1.10.8
2kxeA00	1.10.8
5grqA00	1.10.8
4gmqA00	1.10.8
2lwxA00	1.10.8
2lxeA01	1.10.8
2m5zA00	1.10.8
2qcuA03	1.10.8
2rgoB03	1.10.8
3da1A03	1.10.8
2r18A02	1.10.8
2xljA02	1.10.8
2yqzA02	1.10.8
3ctwB00	1.10.8
3d8lA00	1.10.8
3fkeA01	1.10.8
4gh9A01	1.10.8
6dkuA01	1.10.8
3ig5A04	1.10.8
3j27B00	1.10.8
5o6aD00	1.10.8
3kfuG02	1.10.8
3kp1E02	1.10.8
3m7gA02	1.10.8
3nbiA01	1.10.8
3rfwA01	1.10.8
3shgB00	1.10.8
3t38A01	1.10.8
3t15A02	1.10.8
4lzjA02	1.10.8
3w0lD01	1.10.8
4qozC00	1.10.8
4i8oA03	1.10.8
4nooB00	1.10.8
4oe8C00	1.10.8
4ou7A00	1.10.8
3e9sA02	1.10.8
4p16A02	1.10.8
7f0uA01	1.10.8
6ln0A02	1.10.8
3aogA01	1.10.8
3k92A01	1.10.8
3aoeD01	1.10.8
2yfqB01	1.10.8
3vkgA15	1.10.8
3cf6E01	1.10.8
3tl4X01	1.10.8
4ye6A01	1.10.8
4hl4A01	1.10.8
2k9hA00	1.10.8
2l7xA00	1.10.8
2cw7A04	1.10.8
1xmkA00	1.10.10
3iwfB00	1.10.10
1k78B00	1.10.10
3pqkA00	1.10.10
2fq3A00	1.10.10
1r7jA00	1.10.10
7dklA02	1.10.10
1i27A00	1.10.10
7bqjA01	1.10.10
4rayA01	1.10.10
1vtnC00	1.10.10
1y0uA00	1.10.10
4uhtA00	1.10.10
3q9vA00	1.10.10
1ucrB00	1.10.10
3l9fA01	1.10.10
1fp2A01	1.10.10
5jbrA01	1.10.10
4nb5B01	1.10.10
4ev0A02	1.10.10
4h0eA00	1.10.10
1zarA01	1.10.10
5d6eA02	1.10.10
5u8kA02	1.10.10
4etsA01	1.10.10
2v9vA02	1.10.10
2bgcA02	1.10.10
2od5A00	1.10.10
1fbqA00	1.10.10
1kgsA02	1.10.10
2fe3B01	1.10.10
1sfeA02	1.10.10
2f2eA01	1.10.10
2qvoA00	1.10.10
3cuoD00	1.10.10
1kyzA01	1.10.10
3fxqB01	1.10.10
2pmuC00	1.10.10
7cluA01	1.10.10
2xkoA02	1.10.10
5dcmB00	1.10.10
3gwzA01	1.10.10
3lstA01	1.10.10
2p5kA00	1.10.10
2ip2A01	1.10.10
1p2fA02	1.10.10
1dp7P00	1.10.10
2do7A01	1.10.10
2xigA01	1.10.10
1hw1A01	1.10.10
1z7uB00	1.10.10
5z4zC00	1.10.10
1mgtA02	1.10.10
5trdA01	1.10.10
2obpA00	1.10.10
3f6oB00	1.10.10
7txnA01	1.10.10
1t6sA01	1.10.10
1mzbA01	1.10.10
1s7aA00	1.10.10
2qm3A01	1.10.10
3b02A02	1.10.10
5nl9A01	1.10.10
4i2oA02	1.10.10
1r1tA00	1.10.10
2jscB01	1.10.10
5hs7B00	1.10.10
4hqeA00	1.10.10
1sfxB00	1.10.10
1b9mB01	1.10.10
2a07J00	1.10.10
5iceA01	1.10.10
5w3gA00	1.10.10
1rz4A02	1.10.10
4e70A01	1.10.10
1o3sA02	1.10.10
7lzaA02	1.10.10
3keoA01	1.10.10
4hw0C00	1.10.10
3elkA00	1.10.10
3d0sA02	1.10.10
4esjA02	1.10.10
1u2wD00	1.10.10
2esnA01	1.10.10
3c7jA01	1.10.10
1r1uB00	1.10.10
2rkhA01	1.10.10
3b73B00	1.10.10
1xdsB01	1.10.10
4hlyA00	1.10.10
5fo5A00	1.10.10
2v9vA01	1.10.10
6qv3A05	1.10.10
4tv7D01	1.10.10
2gauA02	1.10.10
3mczA01	1.10.10
3to7A03	1.10.10
1xgsA02	1.10.10
1in4A02	1.10.10
4jqfA02	1.10.10
2oqgB00	1.10.10
2zkzC00	1.10.10
5dymA00	1.10.10
4g6qA01	1.10.10
2ns0A00	1.10.10
